timestamp,severity,rule,pid,process_name,path,action,message
2025-12-17T14:19:44.356862,WARNING,ML_ANOMALY,11860,M365Copilot.exe,,Score +10 (total 10),ML behavioral anomaly (z=3.72)
2025-12-17T14:19:48.971162,INFO,ML_ANOMALY,21464,SearchProtocolHost.exe,,Whitelisted,ML behavioral anomaly (z=4.00)
2025-12-17T14:19:53.070119,INFO,ML_ANOMALY,21464,SearchProtocolHost.exe,,Whitelisted,ML behavioral anomaly (z=3.73)
2025-12-17T14:19:54.579214,WARNING,ML_ANOMALY,4528,vmnat.exe,,Score +10 (total 10),ML behavioral anomaly (z=3.96)
2025-12-17T14:19:57.356250,WARNING,ML_ANOMALY,4528,vmnat.exe,,Score +10 (total 20),ML behavioral anomaly (z=4.31)
2025-12-17T14:19:59.283826,INFO,ML_ANOMALY,12020,svchost.exe,,Whitelisted,ML behavioral anomaly (z=4.05)
2025-12-17T14:20:02.596842,INFO,ML_ANOMALY,5560,svchost.exe,,Whitelisted,ML behavioral anomaly (z=4.80)
2025-12-17T14:20:02.852929,WARNING,ML_ANOMALY,9324,ctfmon.exe,,Score +10 (total 10),ML behavioral anomaly (z=4.80)
2025-12-17T14:20:10.999545,INFO,ML_ANOMALY,2384,svchost.exe,,Whitelisted,ML behavioral anomaly (z=5.20)
2025-12-17T14:20:14.224311,INFO,ML_ANOMALY,21464,SearchProtocolHost.exe,,Whitelisted,ML behavioral anomaly (z=5.29)
2025-12-17T14:20:17.686220,INFO,ML_ANOMALY,5676,comet.exe,,Whitelisted,ML behavioral anomaly (z=4.48)
2025-12-17T14:20:17.877626,WARNING,ML_ANOMALY,11860,M365Copilot.exe,,Score +10 (total 20),ML behavioral anomaly (z=3.62)
2025-12-17T14:20:17.959911,INFO,ML_ANOMALY,13736,comet.exe,,Whitelisted,ML behavioral anomaly (z=5.38)
2025-12-17T14:20:18.019259,INFO,ML_ANOMALY,15980,comet.exe,,Whitelisted,ML behavioral anomaly (z=3.51)
2025-12-17T14:20:19.803849,INFO,ML_ANOMALY,2744,svchost.exe,,Whitelisted,ML behavioral anomaly (z=5.39)
2025-12-17T14:20:25.382766,INFO,ML_ANOMALY,2384,svchost.exe,,Whitelisted,ML behavioral anomaly (z=4.16)
